DivisionName,CreationDate,textbox2,textbox4,PricewithDiscount,sumWeight,Textbox14,textbox5,PricewithDiscount1,sumWeight1
БАРНАУЛ,20.02.2021,3,"2 692,68","1 209,69","2,20",2222,"2 443 982,10","1 767 092,08","6236,62"
БАРНАУЛ,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
БАРНАУЛ,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
БАРНАУЛ,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
БАРНАУЛ,24.02.2021,6,"7 027,32","5 962,91","15,97",3791,"4 155 674,04","3 060 703,53","9504,86"
БАРНАУЛ,25.02.2021,10,"5 404,53","3 414,99","2,43",4005,"4 197 883,82","3 048 461,47","10063,78"
БАРНАУЛ,26.02.2021,3,"2 748,74","2 148,74","2,40",3923,"4 372 380,84","3 262 106,20","18305,83"
БАРНАУЛ,27.02.2021,2,"1 623,68","568,29","0,42",230,"227 671,94","124 139,25","909,26"
БАРНАУЛ,28.02.2021,2,"1 885,64","1 725,84","0,47",134,"143 346,27","107 612,60","711,00"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",01.02.2021,,,,,3525,"4 017 060,79","3 086 523,40","7559,22"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",02.02.2021,,,,,3920,"4 290 014,12","3 159 794,75","7989,82"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",03.02.2021,,,,,3671,"3 902 609,45","2 879 357,23","7921,78"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",04.02.2021,1,"929,00","743,20","0,50",4051,"4 083 924,05","2 876 229,86","10036,64"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",05.02.2021,1,"2 949,00","1 781,40","0,25",4240,"4 197 433,60","3 188 895,92","7769,89"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",08.02.2021,1,"3 502,80","3 502,80","0,50",3419,"3 055 828,95","2 150 854,84","8595,76"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",10.02.2021,,,,,3556,"3 774 267,47","2 694 716,58","8195,63"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",11.02.2021,,,,,3430,"3 510 806,01","2 561 886,42","6278,32"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",12.02.2021,,,,,3170,"3 694 458,78","2 663 795,69","6910,90"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",15.02.2021,,,,,3545,"3 990 950,05","2 822 111,89","9054,02"
